building_id, mean_temp, std_temp, pct_above_18, pct_below_15
10000,14.012339,6.367431,30.941015,55.542295
10009,11.000136,5.811144,16.671273,74.972359
10014,14.744170,7.037733,38.263675,52.808371
10019,14.735524,7.030325,38.149154,52.929268
10029,10.616037,6.317332,18.255632,74.513018
10031,12.507073,6.278432,24.044722,66.395133
10051,13.289040,5.999085,25.976936,62.859924
10053,11.366494,6.261218,19.951075,72.410525
10056,14.220115,6.179461,31.763455,57.061750
10064,12.716969,6.964228,28.791371,62.756883
Execution time: 4.0135 seconds
