building_id, mean_temp, std_temp, pct_above_18, pct_below_15
10000,14.012339,6.367431,30.941015,55.542295
10009,11.000136,5.811144,16.671273,74.972359
10014,14.744170,7.037733,38.263675,52.808371
10019,14.735524,7.030325,38.149154,52.929268
10029,10.616037,6.317332,18.255632,74.513018
10031,12.507073,6.278432,24.044722,66.395133
10051,13.289040,5.999085,25.976936,62.859924
10053,11.366494,6.261218,19.951075,72.410525
10056,14.220115,6.179461,31.763455,57.061750
10064,12.716969,6.964228,28.791371,62.756883
10075,15.156939,6.440520,39.120882,47.456055
10079,15.094354,7.313911,41.900015,49.449741
10080,15.777741,7.280586,46.365765,44.711034
10082,16.465721,6.713345,48.643497,40.561377
10083,15.639248,7.120808,44.855519,45.886354
10084,15.100585,7.150542,40.906490,50.266526
10085,15.868862,7.192792,46.183039,44.725667
10086,14.391525,7.215616,37.256646,53.018850
10087,15.073206,7.275520,41.532406,49.897132
10089,13.989764,7.276278,35.458612,56.364015
10090,14.289772,6.618760,36.617204,51.196383
10093,14.095290,6.567366,33.377386,56.457309
10094,14.194041,6.761508,35.376785,54.925847
10097,14.352952,6.862347,37.789673,51.308832
10117,15.464972,6.682106,44.116540,44.475395
10119,14.087564,6.751740,35.080179,54.697632
10120,15.281836,8.031456,46.168776,47.716275
10124,13.865678,7.032471,34.564336,56.069520
10126,13.395547,6.636762,29.661137,61.092481
10128,17.426230,6.706339,56.032878,34.885886
10136,15.423200,7.273070,44.307790,46.891158
10144,12.107175,6.127344,21.810514,68.903449
Execution time: 10.5000 seconds
