building_id,mean_temp,std_temp,pct_above_18,pct_below_15
10000,14.016701,6.367649,30.966330,55.475390
10009,11.010280,5.809287,16.697658,74.934667
10014,14.760094,7.028291,38.297266,52.748315
10019,14.752192,7.020491,38.191880,52.886542
10029,10.622508,6.312461,18.255632,74.513018
10031,12.518721,6.276145,24.080075,66.334738
10051,13.290569,5.999001,25.976936,62.848906
10053,11.374404,6.258990,19.957687,72.388487
10056,14.221562,6.179405,31.770664,57.054540
10064,12.729579,6.964128,28.854589,62.675186
10075,15.177123,6.443345,39.299753,47.279392
10079,15.105832,7.310311,41.940667,49.388763
10080,15.788728,7.276695,46.422588,44.669887
10082,16.481818,6.706141,48.723152,40.472239
10083,15.642338,7.120666,44.870437,45.874420
10084,15.103437,7.149927,40.920042,50.251468
10085,15.872019,7.191594,46.192915,44.711559
10086,14.401350,7.212647,37.290478,52.985984
10087,15.087660,7.268110,41.581256,49.843584
10089,14.005138,7.268858,35.507788,56.306328
10090,14.292349,6.619899,36.668212,51.187109
10093,14.107773,6.563873,33.415300,56.390147
10094,14.207079,6.756749,35.406337,54.878783
10097,14.357997,6.864222,37.845160,51.274561
10117,15.467991,6.682572,44.134106,44.460338
10119,14.089674,6.751789,35.085206,54.692605
10120,15.282544,8.031762,46.168776,47.716275
10124,13.869199,7.031665,34.571511,56.046203
10126,13.400895,6.635990,29.673491,61.073067
10128,17.429429,6.706558,56.043518,34.869926
10136,15.429839,7.273167,44.343381,46.869408
10144,12.118611,6.126213,21.841894,68.848220
10145,10.662938,5.891477,16.590744,75.261776
10150,14.964158,7.494035,41.205052,50.724181
10161,13.451502,7.029405,31.821653,59.457900
10165,13.055518,6.732037,29.071605,62.047737
10167,13.234493,6.813349,30.197673,60.843695
10168,13.195185,6.899793,30.327256,60.483321
10174,16.608941,6.955984,49.545871,41.212829
10176,16.682369,6.842548,49.901243,40.574318
10177,16.648131,6.775457,49.226928,40.820192
10180,16.511847,6.854052,48.287361,42.000488
10182,16.740702,6.320410,50.900328,37.492046
10198,14.439545,7.345024,38.675400,53.180495
10199,17.255015,6.978009,53.968349,37.616410
10200,12.835382,7.255169,30.705105,61.618953
10201,15.960914,7.271203,47.107707,44.606811
10202,13.554783,7.495486,34.066975,58.621124
10203,16.816461,6.613476,51.283124,38.836891
10204,14.773621,7.063340,39.064742,51.702945
10205,11.460772,6.661886,23.204573,69.348384
10206,10.135279,6.358601,17.561839,76.299362
10207,11.398468,6.609717,22.667903,69.791218
10208,9.508389,5.540518,11.988929,82.243750
1021,16.768167,6.371574,48.870559,39.484702
10215,15.469643,7.149004,44.259725,46.586362
10219,14.159470,7.299826,37.307605,54.166410
1022,17.785342,6.216518,57.621111,31.784399
1023,18.990037,5.843678,65.292662,25.025639
1024,18.306329,5.930140,60.606737,28.844152
10243,16.614798,6.204488,49.009315,38.122743
10244,15.573483,6.621991,44.118524,43.496989
10245,16.660158,6.213591,49.223476,37.883899
10247,15.610817,6.620015,44.661362,43.106171
10249,16.127140,6.232783,46.033885,40.424063
1025,17.539724,6.329624,56.102602,33.801033
10251,12.193424,7.591854,29.219439,65.120880
10252,12.014999,7.601976,27.505076,67.004437
10255,11.944626,7.217732,25.821905,67.933933
10257,15.261276,7.283460,40.810593,51.131471
10259,12.667547,7.621099,30.479893,63.818308
1026,18.560008,5.710467,62.040455,26.710477
10260,13.682962,7.210209,33.742478,58.049387
